No.                	Time               	Voltage[ V ]       	Current[ A ]       	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-09-24 18:45:04	219.7000           	0.0000             	0.0000             	0.0000             	0.0000             	0.0000             	60.0000            	0.0000             	0.0000             	0.0000             
2                  	2021-09-24 18:45:05	219.7000           	0.0000             	0.0000             	0.0000             	0.0000             	0.0000             	60.0000            	0.0000             	0.0000             	0.0000             
3                  	2021-09-24 18:45:06	219.6000           	0.0000             	0.0000             	0.0000             	0.0000             	0.0000             	60.0000            	0.0000             	0.0000             	0.0000             
4                  	2021-09-24 18:45:07	219.6000           	0.0000             	0.0000             	0.0000             	0.0000             	0.0000             	60.0100            	0.0000             	0.0000             	0.0000             
5                  	2021-09-24 18:45:08	219.6000           	0.0000             	0.0000             	0.0000             	0.0000             	0.0000             	60.0000            	0.0000             	0.0000             	0.0000             
6                  	2021-09-24 18:45:09	219.6000           	0.0000             	0.0000             	0.0000             	0.0000             	0.0000             	60.0000            	0.0000             	0.0000             	0.0000             
7                  	2021-09-24 18:45:10	219.3000           	0.1805             	22.0400            	39.5836            	32.9012            	0.5560             	59.9900            	0.0000             	0.0000             	0.0000             
8                  	2021-09-24 18:45:11	219.4000           	0.1805             	22.0400            	39.6017            	32.9162            	0.5560             	60.0000            	0.0000             	0.0000             	0.0000             
9                  	2021-09-24 18:45:12	219.4000           	0.1805             	22.0400            	39.6017            	32.9162            	0.5560             	59.9900            	0.0000             	0.0000             	0.0000             
10                 	2021-09-24 18:45:13	219.4000           	0.1805             	22.0400            	39.6017            	32.9162            	0.5560             	59.9900            	0.0000             	0.0000             	0.0000             
11                 	2021-09-24 18:45:14	219.4000           	0.1805             	22.0400            	39.6017            	32.9162            	0.5560             	59.9900            	0.0000             	0.0000             	0.0000             
12                 	2021-09-24 18:45:15	219.4000           	0.5162             	73.5000            	113.2543           	86.2590            	0.6480             	59.9900            	0.0000             	0.0000             	0.0000             
13                 	2021-09-24 18:45:17	219.4000           	0.5161             	73.5000            	113.2323           	86.2423            	0.6480             	59.9900            	0.0000             	0.0000             	0.0000             
14                 	2021-09-24 18:45:18	219.5000           	0.5163             	73.5600            	113.3278           	86.3151            	0.6480             	59.9900            	0.0000             	0.0000             	0.0000             
15                 	2021-09-24 18:45:19	219.5000           	0.5164             	73.5900            	113.3498           	86.3318            	0.6480             	59.9900            	0.0000             	0.0000             	0.0000             
16                 	2021-09-24 18:45:20	219.5000           	0.5169             	73.7400            	113.4596           	86.3187            	0.6490             	60.0000            	0.0000             	0.0000             	0.0000             
17                 	2021-09-24 18:45:21	219.5000           	0.5168             	73.7400            	113.4376           	86.3020            	0.6490             	59.9900            	0.0000             	0.0000             	0.0000             
18                 	2021-09-24 18:45:22	219.6000           	0.5169             	73.7400            	113.5112           	86.3580            	0.6490             	59.9900            	0.0000             	0.0000             	0.0000             
19                 	2021-09-24 18:45:23	219.5000           	0.5169             	74.4600            	113.4596           	85.6348            	0.6560             	59.9900            	0.0000             	0.0000             	0.0000             
20                 	2021-09-24 18:45:24	219.4000           	0.5216             	78.6100            	114.4390           	83.2660            	0.6860             	60.0000            	0.0000             	0.0000             	0.0000             
21                 	2021-09-24 18:45:26	219.4000           	0.5398             	89.2200            	118.4321           	77.9308            	0.7530             	60.0000            	0.0000             	0.0000             	0.0000             
22                 	2021-09-24 18:45:27	219.3000           	0.5948             	110.4000           	130.4396           	69.5482            	0.8460             	60.0000            	0.0000             	0.0000             	0.0000             
23                 	2021-09-24 18:45:28	219.2000           	0.6516             	127.4000           	142.8307           	64.8456            	0.8910             	60.0000            	0.0000             	0.0000             	0.0000             
24                 	2021-09-24 18:45:29	219.1000           	0.7642             	156.5000           	167.4362           	59.8204            	0.9340             	60.0000            	0.0000             	0.0000             	0.0000             
25                 	2021-09-24 18:45:30	219.1000           	0.7694             	157.7000           	168.5755           	59.7849            	0.9350             	60.0000            	0.0000             	0.0000             	0.0000             
26                 	2021-09-24 18:45:32	219.1000           	0.7699             	157.8000           	168.6851           	59.8238            	0.9350             	60.0000            	0.0000             	0.0000             	0.0000             
27                 	2021-09-24 18:45:33	219.1000           	0.7706             	158.0000           	168.8385           	59.8782            	0.9350             	60.0000            	0.0000             	0.0000             	0.0000             
28                 	2021-09-24 18:45:34	219.1000           	0.7711             	158.1000           	168.9480           	59.9170            	0.9350             	60.0000            	0.0000             	0.0000             	0.0000             
29                 	2021-09-24 18:45:35	219.2000           	0.7714             	158.3000           	169.0909           	59.5200            	0.9360             	60.0000            	0.0000             	0.0000             	0.0000             
30                 	2021-09-24 18:45:36	219.1000           	0.8026             	165.8000           	175.8497           	59.0174            	0.9420             	60.0000            	0.0000             	0.0000             	0.0000             
31                 	2021-09-24 18:45:37	219.0000           	0.8419             	175.0000           	184.3761           	58.6814            	0.9480             	59.9900            	0.0000             	0.0000             	0.0000             
32                 	2021-09-24 18:45:38	219.0000           	0.8436             	175.3000           	184.7484           	58.2467            	0.9490             	59.9900            	0.0000             	0.0000             	0.0000             
33                 	2021-09-24 18:45:39	219.0000           	0.8339             	173.1000           	182.6241           	58.6650            	0.9470             	59.9900            	0.0000             	0.0000             	0.0000             
34                 	2021-09-24 18:45:41	219.0000           	0.8343             	173.2000           	182.7117           	58.6931            	0.9470             	59.9900            	0.0000             	0.0000             	0.0000             
35                 	2021-09-24 18:45:42	219.0000           	0.8347             	173.3000           	182.7993           	58.7213            	0.9470             	59.9800            	0.0000             	0.0000             	0.0000             
36                 	2021-09-24 18:45:43	219.1000           	0.8353             	173.5000           	183.0142           	58.2480            	0.9480             	59.9800            	0.0000             	0.0000             	0.0000             
37                 	2021-09-24 18:45:44	219.1000           	0.8357             	173.6000           	183.1019           	58.2759            	0.9480             	59.9800            	0.0000             	0.0000             	0.0000             
38                 	2021-09-24 18:45:45	219.0000           	0.8231             	170.6000           	180.2589           	58.4339            	0.9460             	59.9800            	0.0000             	0.0000             	0.0000             
39                 	2021-09-24 18:45:46	219.1000           	0.8217             	170.4000           	180.0345           	58.3612            	0.9460             	59.9800            	0.0000             	0.0000             	0.0000             
