%T[mN.m]	S[r/min]	E6[V]	I6[mA]	Po[mW]	P6[mW]	EffA[%]	Pf[%]
85.9375	1475.625	220.74	422	13277.17	90900	14.60635	97.58215
82.03125	1476.875	220.75	421	12684.39	90600	14.00044	97.4867
166.4063	1464.375	220.74	455	25513.42	99000	25.77113	98.56954
323.4375	1444.375	220.71	528	48912.18	115900	42.20205	99.4552
471.875	1421.25	220.67	610	70217.3	134100	52.36189	99.62209
580.4688	1400.625	220.66	676	85123.09	148800	57.20638	99.75453
668.75	1381.25	220.94	736	96712.54	162300	59.58875	99.80823
751.5625	1363.75	220.61	791	107311.6	174300	61.56717	99.88395
810.9375	1340.625	220.6	847	113826	186600	60.99999	99.86716
865.625	1321.875	220.58	899	119802.8	198200	60.44539	99.94885
903.125	1300.625	220.57	946	122983.4	208600	58.95659	99.97161
932.8125	1282.5	220.55	994	125256	219200	57.14232	99.98782
962.5	1262.5	220.54	1031	127226.9	227300	55.9731	99.96626
993.75	1243.125	220.53	1067	129341.7	235300	54.96886	99.99766
994.5313	1221.875	220.52	1103	127230.7	243200	52.31525	99.9862
1011.719	1204.375	220.81	1133	127575.8	250000	51.03031	99.92896
1036.719	1103.75	220.47	1276	119805.9	280500	42.71157	99.70862
991.4063	1003.75	220.44	1384	104189.5	303100	34.37462	99.34807
916.4063	903.75	220.41	1462	86712.77	319300	27.15715	99.08781
842.1875	799.375	220.39	1529	70486.52	332700	21.18621	98.73097
745.3125	703.75	220.39	1571	54916.58	340800	16.11402	98.43092
694.5313	603.75	220.39	1604	43903.14	347200	12.64491	98.21628
610.1563	503.75	220.38	1621	32181.24	350300	9.186767	98.05843
544.5313	402.5	220.66	1637	22947.5	354200	6.478684	98.05647
482.0313	295.625	220.37	1648	14919.8	355800	4.193311	97.97072
389.8438	196.25	220.37	1654	8010.266	357200	2.242516	97.99941
653.125	104.375	220.37	1653	7137.391	356900	1.999829	97.97635
615.625	0	220.37	1652	0	357000	0	98.06313
