%T[mN.m]	S[r/min]	E6[V]	I6[mA]	Po[mW]	P6[mW]	EffA[%]	Pf[%]
97.65625	1771.875	220.71	483	18116.73	82600	21.93309	77.4838
121.0938	1768.125	220.73	491	22417.2	85600	26.18832	78.98251
148.4375	1764.375	220.73	501	27420.87	89900	30.50152	81.2944
275	1743.75	220.64	558	50206.92	108200	46.40196	87.8838
396.875	1721.25	220.66	639	71522.78	130100	54.97523	92.26836
495.3125	1701.25	220.63	716	88225.49	149200	59.13237	94.44767
578.125	1681.25	220.61	786	101765.5	165900	61.3415	95.67504
644.5313	1661.25	220.59	853	112105.2	181200	61.86819	96.29935
701.5625	1641.25	220.57	926	120555.7	197600	61.00998	96.74522
744.5313	1623.125	220.56	983	126526.5	210300	60.16478	96.99715
789.0625	1601.875	220.54	1042	132338.7	223300	59.26496	97.17033
824.2188	1581.875	220.53	1108	136509	237500	57.47748	97.19775
857.8125	1561.875	220.51	1156	140276.6	247900	56.58597	97.25018
873.4375	1540.625	220.41	1211	140888.5	259500	54.29228	97.22141
893.75	1518.125	220.48	1263	142059.5	270700	52.47857	97.21106
917.9688	1499.375	220.47	1306	144106.9	279900	51.48515	97.20984
907.0313	1478.75	220.46	1354	140431.2	289800	48.45798	97.0845
909.375	1461.875	220.45	1392	139187.4	297800	46.73855	97.04549
920.3125	1440.625	220.45	1427	138813.9	305100	45.49783	96.98579
919.5313	1419.375	220.43	1468	136650.2	313500	43.58859	96.88149
910.9375	1400.625	220.42	1499	133584.8	319900	41.75831	96.81923
899.2188	1301.25	220.39	1651	122510.4	350400	34.963	96.29975
850	1201.875	220.23	1783	106960.9	375900	28.45461	95.72922
763.2813	1103.75	220.33	1870	88206.78	392700	22.46162	95.31158
686.7188	996.875	220.32	1954	71674.77	408200	17.55874	94.81882
610.1563	904.375	220.31	2007	57774.51	417600	13.83489	94.44499
550.7813	804.375	220.29	2048	46385.73	424500	10.92715	94.09206
454.6875	704.375	220.3	2078	33532.32	429400	7.80911	93.79982
403.125	603.75	220.29	2092	25482.59	431700	5.902847	93.67541
381.25	503.75	220.28	2103	20108.13	434200	4.631074	93.72932
338.2813	404.375	220.29	2114	14322.17	436700	3.279636	93.77422
265.625	304.375	220.27	2122	8464.954	438500	1.930434	93.81426
266.4063	204.375	220.28	2124	5700.578	439000	1.298537	93.82854
166.4063	94.375	220.27	2117	1644.271	438100	0.3753185	93.95006
389.8438	0	220.27	2120	0	438900	0	93.98843
