No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-09-06 18:25:55	212.9000           	505.0000           	55.7600            	107.5145           	91.9658            	0.5180             	60.0000            	0.0000             	0.0000             	0.0000             
2                  	2021-09-06 18:25:56	212.9000           	504.8000           	55.7900            	107.4719           	91.9294            	0.5180             	60.0000            	0.0000             	0.0000             	0.0000             
3                  	2021-09-06 18:25:57	213.0000           	504.6000           	55.8100            	107.4798           	91.8710            	0.5190             	60.0000            	0.0000             	0.0000             	0.0000             
4                  	2021-09-06 18:25:58	213.0000           	504.7000           	55.8800            	107.5011           	91.8892            	0.5190             	59.9900            	0.0000             	0.0000             	0.0000             
5                  	2021-09-06 18:25:59	213.0000           	504.3000           	55.8600            	107.4159           	91.8163            	0.5190             	60.0000            	0.0000             	0.0000             	0.0000             
6                  	2021-09-06 18:26:00	213.0000           	504.3000           	55.8500            	107.4159           	91.8163            	0.5190             	60.0000            	0.0000             	0.0000             	0.0000             
7                  	2021-09-06 18:26:02	213.1000           	504.3000           	55.9000            	107.4663           	91.7941            	0.5200             	60.0100            	0.0000             	0.0000             	0.0000             
8                  	2021-09-06 18:26:03	213.1000           	504.1000           	55.8900            	107.4237           	91.7577            	0.5200             	60.0100            	0.0000             	0.0000             	0.0000             
9                  	2021-09-06 18:26:04	213.0000           	503.4000           	55.8100            	107.2242           	91.5873            	0.5200             	60.0100            	0.0000             	0.0000             	0.0000             
10                 	2021-09-06 18:26:05	212.9000           	503.2000           	55.7700            	107.1313           	91.5079            	0.5200             	60.0100            	0.0000             	0.0000             	0.0000             
11                 	2021-09-06 18:26:06	198.5000           	460.0000           	47.3100            	91.3100            	78.1048            	0.5180             	60.0300            	0.0000             	0.0000             	0.0000             
12                 	2021-09-06 18:26:08	183.6000           	418.9000           	40.0000            	76.9100            	65.7407            	0.5190             	60.0200            	0.0000             	0.0000             	0.0000             
13                 	2021-09-06 18:26:09	178.1000           	404.3000           	37.5400            	72.0058            	61.4611            	0.5210             	60.0200            	0.0000             	0.0000             	0.0000             
14                 	2021-09-06 18:26:10	174.9000           	396.2000           	36.2000            	69.2954            	59.1052            	0.5220             	60.0200            	0.0000             	0.0000             	0.0000             
15                 	2021-09-06 18:26:11	166.9000           	375.9000           	32.9700            	62.7377            	53.3962            	0.5250             	60.0200            	0.0000             	0.0000             	0.0000             
16                 	2021-09-06 18:26:12	162.8000           	365.9000           	31.4100            	59.5685            	50.6252            	0.5270             	60.0200            	0.0000             	0.0000             	0.0000             
17                 	2021-09-06 18:26:13	156.6000           	350.7000           	29.1400            	54.9196            	46.5717            	0.5300             	60.0100            	0.0000             	0.0000             	0.0000             
18                 	2021-09-06 18:26:15	153.7000           	343.7000           	28.1000            	52.8267            	44.7638            	0.5310             	60.0100            	0.0000             	0.0000             	0.0000             
19                 	2021-09-06 18:26:16	151.7000           	338.8000           	27.3900            	51.3960            	43.5192            	0.5320             	60.0200            	0.0000             	0.0000             	0.0000             
20                 	2021-09-06 18:26:17	147.1000           	327.8000           	25.8300            	48.2194            	40.7382            	0.5350             	60.0100            	0.0000             	0.0000             	0.0000             
21                 	2021-09-06 18:26:18	142.5000           	316.7000           	24.2900            	45.1297            	38.0419            	0.5380             	60.0100            	0.0000             	0.0000             	0.0000             
22                 	2021-09-06 18:26:19	138.3000           	306.8000           	22.9600            	42.4304            	35.7122            	0.5400             	60.0200            	0.0000             	0.0000             	0.0000             
23                 	2021-09-06 18:26:21	134.3000           	297.2000           	21.6800            	39.9140            	33.5171            	0.5430             	60.0100            	0.0000             	0.0000             	0.0000             
24                 	2021-09-06 18:26:22	131.9000           	291.6000           	20.9600            	38.4620            	32.2729            	0.5440             	60.0200            	0.0000             	0.0000             	0.0000             
25                 	2021-09-06 18:26:23	127.6000           	281.3000           	19.6800            	35.8939            	30.0245            	0.5480             	60.0200            	0.0000             	0.0000             	0.0000             
26                 	2021-09-06 18:26:24	122.2000           	268.6000           	18.1100            	32.8229            	27.3909            	0.5510             	60.0000            	0.0000             	0.0000             	0.0000             
27                 	2021-09-06 18:26:25	118.5000           	259.9000           	17.0800            	30.7981            	25.6400            	0.5540             	60.0100            	0.0000             	0.0000             	0.0000             
28                 	2021-09-06 18:26:27	115.2000           	252.1000           	16.1800            	29.0419            	24.1197            	0.5570             	60.0000            	0.0000             	0.0000             	0.0000             
29                 	2021-09-06 18:26:28	113.8000           	248.8000           	15.8200            	28.3134            	23.4957            	0.5580             	60.0000            	0.0000             	0.0000             	0.0000             
30                 	2021-09-06 18:26:29	109.5000           	238.9000           	14.7100            	26.1595            	21.6375            	0.5620             	60.0000            	0.0000             	0.0000             	0.0000             
31                 	2021-09-06 18:26:30	105.8000           	230.3000           	13.7900            	24.3657            	20.1040            	0.5650             	60.0000            	0.0000             	0.0000             	0.0000             
32                 	2021-09-06 18:26:31	100.7000           	218.3000           	12.5400            	21.9828            	18.0773            	0.5690             	60.0000            	0.0000             	0.0000             	0.0000             
33                 	2021-09-06 18:26:33	97.6000            	211.0000           	11.8100            	20.5936            	16.8776            	0.5730             	59.9800            	0.0000             	0.0000             	0.0000             
34                 	2021-09-06 18:26:34	96.6000            	208.9000           	11.6100            	20.1797            	16.5243            	0.5740             	60.0000            	0.0000             	0.0000             	0.0000             
35                 	2021-09-06 18:26:35	93.1100            	200.6000           	10.8000            	18.6779            	15.2418            	0.5780             	59.9900            	0.0000             	0.0000             	0.0000             
36                 	2021-09-06 18:26:36	86.5100            	185.7000           	9.4120             	16.0649            	13.0292            	0.5850             	59.9800            	0.0000             	0.0000             	0.0000             
37                 	2021-09-06 18:26:37	82.8600            	177.0000           	8.6730             	14.6662            	11.8308            	0.5910             	59.9800            	0.0000             	0.0000             	0.0000             
38                 	2021-09-06 18:26:38	79.1900            	168.7000           	7.9680             	13.3594            	10.7274            	0.5960             	59.9800            	0.0000             	0.0000             	0.0000             
39                 	2021-09-06 18:26:40	77.8400            	165.5000           	7.7040             	12.8825            	10.3349            	0.5970             	59.9900            	0.0000             	0.0000             	0.0000             
40                 	2021-09-06 18:26:41	73.0500            	154.7000           	6.8450             	11.3008            	8.9980             	0.6050             	59.9800            	0.0000             	0.0000             	0.0000             
41                 	2021-09-06 18:26:42	68.1400            	143.8000           	6.0000             	9.7985             	7.7492             	0.6120             	59.9800            	0.0000             	0.0000             	0.0000             
42                 	2021-09-06 18:26:43	65.9800            	139.3000           	5.6750             	9.1910             	7.2330             	0.6170             	59.9800            	0.0000             	0.0000             	0.0000             
43                 	2021-09-06 18:26:44	65.0800            	137.5000           	5.5450             	8.9485             	7.0281             	0.6190             	59.9800            	0.0000             	0.0000             	0.0000             
44                 	2021-09-06 18:26:45	60.9500            	128.9000           	4.9060             	7.8565             	6.1392             	0.6240             	59.9800            	0.0000             	0.0000             	0.0000             
45                 	2021-09-06 18:26:46	57.9000            	123.2000           	4.4800             	7.1333             	5.5570             	0.6270             	59.9800            	0.0000             	0.0000             	0.0000             
46                 	2021-09-06 18:26:48	58.9300            	127.0000           	4.7510             	7.4841             	5.7877             	0.6340             	59.9800            	0.0000             	0.0000             	0.0000             
47                 	2021-09-06 18:26:49	58.6900            	126.9000           	4.7330             	7.4478             	5.7535             	0.6350             	59.9800            	0.0000             	0.0000             	0.0000             
48                 	2021-09-06 18:26:50	57.1600            	124.5000           	4.5180             	7.1164             	5.5034             	0.6340             	59.9700            	0.0000             	0.0000             	0.0000             
49                 	2021-09-06 18:26:51	54.0000            	117.3000           	3.9770             	6.3342             	4.9345             	0.6270             	59.9700            	0.0000             	0.0000             	0.0000             
50                 	2021-09-06 18:26:52	52.5500            	114.8000           	3.7540             	6.0327             	4.7285             	0.6210             	59.9800            	0.0000             	0.0000             	0.0000             
51                 	2021-09-06 18:26:54	52.5200            	115.8000           	3.7710             	6.0818             	4.7766             	0.6190             	59.9800            	0.0000             	0.0000             	0.0000             
52                 	2021-09-06 18:26:55	52.5600            	116.4000           	3.7940             	6.1180             	4.8002             	0.6200             	59.9800            	0.0000             	0.0000             	0.0000             
53                 	2021-09-06 18:26:56	52.1200            	116.0000           	3.7320             	6.0459             	4.7579             	0.6170             	59.9800            	0.0000             	0.0000             	0.0000             
54                 	2021-09-06 18:26:57	50.3700            	111.5000           	3.4260             	5.6163             	4.4546             	0.6090             	59.9900            	0.0000             	0.0000             	0.0000             
55                 	2021-09-06 18:26:58	49.1200            	108.2000           	3.2110             	5.3148             	4.2358             	0.6040             	59.9900            	0.0000             	0.0000             	0.0000             
56                 	2021-09-06 18:26:59	48.7300            	107.2000           	3.1430             	5.2239             	4.1752             	0.6010             	59.9900            	0.0000             	0.0000             	0.0000             
57                 	2021-09-06 18:27:01	47.8000            	104.6000           	2.9970             	4.9999             	4.0036             	0.5990             	60.0000            	0.0000             	0.0000             	0.0000             
58                 	2021-09-06 18:27:02	45.8500            	98.9000            	2.6820             	4.5346             	3.6579             	0.5910             	59.9900            	0.0000             	0.0000             	0.0000             
59                 	2021-09-06 18:27:03	45.4300            	97.6000            	2.6190             	4.4340             	3.5800             	0.5900             	59.9900            	0.0000             	0.0000             	0.0000             
60                 	2021-09-06 18:27:04	45.4000            	97.6000            	2.6150             	4.4310             	3.5776             	0.5900             	60.0000            	0.0000             	0.0000             	0.0000             
61                 	2021-09-06 18:27:05	45.4800            	97.8000            	2.6240             	4.4479             	3.5945             	0.5890             	60.0000            	0.0000             	0.0000             	0.0000             
62                 	2021-09-06 18:27:07	45.5500            	98.0000            	2.6330             	4.4639             	3.6074             	0.5890             	59.9900            	0.0000             	0.0000             	0.0000             
