No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-09-06 18:38:53	166.0000           	711.2000           	47.4500            	118.0592           	108.1514           	0.4010             	60.0000            	0.0700             	0.0298             	0.0132             
2                  	2021-09-06 18:38:54	166.0000           	711.8000           	47.5200            	118.1588           	108.2427           	0.4010             	60.0000            	0.0900             	0.0382             	0.0169             
3                  	2021-09-06 18:38:55	166.0000           	711.4000           	47.5100            	118.0924           	108.1301           	0.4020             	60.0000            	0.1000             	0.0425             	0.0188             
4                  	2021-09-06 18:38:56	166.1000           	711.7000           	47.6100            	118.2134           	108.2409           	0.4020             	60.0000            	0.1100             	0.0467             	0.0207             
5                  	2021-09-06 18:38:57	166.0000           	711.4000           	47.5300            	118.0924           	108.1301           	0.4020             	60.0100            	0.1300             	0.0553             	0.0244             
6                  	2021-09-06 18:38:58	166.1000           	711.8000           	47.6100            	118.2300           	108.2561           	0.4020             	60.0000            	0.1400             	0.0595             	0.0263             
7                  	2021-09-06 18:39:00	166.1000           	712.0000           	47.6200            	118.2632           	108.2865           	0.4020             	60.0000            	0.1600             	0.0680             	0.0301             
8                  	2021-09-06 18:39:01	163.2000           	699.1000           	46.1100            	114.0931           	104.3677           	0.4040             	60.0000            	0.1700             	0.0723             	0.0320             
9                  	2021-09-06 18:39:02	157.7000           	678.0000           	43.7600            	106.9206           	97.5687            	0.4090             	60.0000            	0.1800             	0.0765             	0.0338             
10                 	2021-09-06 18:39:03	147.8000           	638.9000           	39.5300            	94.4294            	85.7841            	0.4180             	60.0000            	0.2000             	0.0850             	0.0376             
11                 	2021-09-06 18:39:04	143.2000           	620.7000           	37.5800            	88.8842            	80.5821            	0.4220             	60.0000            	0.2100             	0.0892             	0.0395             
12                 	2021-09-06 18:39:05	137.0000           	596.8000           	35.2300            	81.7616            	73.8167            	0.4300             	60.0000            	0.2200             	0.0935             	0.0414             
13                 	2021-09-06 18:39:07	131.8000           	576.4000           	33.2500            	75.9695            	68.3317            	0.4370             	60.0000            	0.2400             	0.1020             	0.0451             
14                 	2021-09-06 18:39:08	127.1000           	557.6000           	31.4200            	70.8710            	63.5373            	0.4430             	60.0000            	0.2500             	0.1062             	0.0470             
15                 	2021-09-06 18:39:09	119.8000           	529.1000           	28.8200            	63.3862            	56.4772            	0.4540             	60.0000            	0.2600             	0.1105             	0.0489             
16                 	2021-09-06 18:39:10	114.9000           	509.5000           	27.0900            	58.5416            	51.9193            	0.4620             	60.0000            	0.2600             	0.1105             	0.0489             
17                 	2021-09-06 18:39:11	110.3000           	491.1000           	25.4800            	54.1683            	47.8126            	0.4700             	60.0000            	0.2700             	0.1147             	0.0508             
18                 	2021-09-06 18:39:12	105.5000           	472.5000           	23.9000            	49.8487            	43.7580            	0.4790             	59.9900            	0.2800             	0.1190             	0.0526             
19                 	2021-09-06 18:39:14	103.2000           	463.2000           	23.1100            	47.8022            	41.8566            	0.4830             	59.9900            	0.2900             	0.1232             	0.0545             
20                 	2021-09-06 18:39:15	97.6000            	442.0000           	21.5300            	43.1392            	37.4093            	0.4980             	60.0000            	0.2900             	0.1232             	0.0545             
21                 	2021-09-06 18:39:16	93.1500            	425.2000           	20.2700            	39.6074            	34.0457            	0.5110             	59.9900            	0.3000             	0.1275             	0.0564             
22                 	2021-09-06 18:39:17	91.5800            	419.1000           	19.7400            	38.3812            	32.9230            	0.5140             	59.9900            	0.3100             	0.1318             	0.0583             
23                 	2021-09-06 18:39:18	89.2800            	410.2000           	19.0300            	36.6227            	31.3041            	0.5190             	59.9900            	0.3100             	0.1318             	0.0583             
24                 	2021-09-06 18:39:20	85.7000            	397.1000           	18.0700            	34.0315            	28.8373            	0.5310             	59.9900            	0.3200             	0.1360             	0.0602             
25                 	2021-09-06 18:39:21	83.3000            	388.4000           	17.4900            	32.3537            	27.2310            	0.5400             	59.9900            	0.3300             	0.1402             	0.0620             
26                 	2021-09-06 18:39:22	79.5500            	374.9000           	16.4800            	29.8233            	24.8680            	0.5520             	59.9800            	0.3300             	0.1402             	0.0620             
27                 	2021-09-06 18:39:23	77.9100            	370.8000           	16.2400            	28.8890            	23.8952            	0.5620             	59.9800            	0.3400             	0.1445             	0.0639             
28                 	2021-09-06 18:39:24	75.7400            	364.2000           	15.7400            	27.5845            	22.6647            	0.5700             	59.9900            	0.3400             	0.1445             	0.0639             
29                 	2021-09-06 18:39:25	74.1000            	359.3000           	15.3600            	26.6241            	21.7451            	0.5770             	60.0000            	0.3500             	0.1487             	0.0658             
30                 	2021-09-06 18:39:26	71.6600            	353.8000           	14.9200            	25.3533            	20.5073            	0.5880             	60.0000            	0.3500             	0.1487             	0.0658             
31                 	2021-09-06 18:39:28	68.7500            	352.4000           	14.6400            	24.2275            	19.3089            	0.6040             	60.0100            	0.3600             	0.1530             	0.0677             
32                 	2021-09-06 18:39:29	68.5700            	356.3000           	14.8700            	24.4315            	19.3971            	0.6080             	60.0100            	0.3600             	0.1530             	0.0677             
33                 	2021-09-06 18:39:30	67.3800            	356.2000           	14.6900            	24.0008            	18.9812            	0.6120             	60.0100            	0.3700             	0.1573             	0.0696             
34                 	2021-09-06 18:39:31	66.0300            	361.2000           	14.6700            	23.8500            	18.8064            	0.6150             	60.0000            	0.3700             	0.1573             	0.0696             
35                 	2021-09-06 18:39:32	65.2100            	377.0000           	15.0500            	24.5842            	19.4426            	0.6120             	60.0100            	0.3800             	0.1615             	0.0714             
36                 	2021-09-06 18:39:33	66.5500            	411.7000           	16.5600            	27.3986            	21.8363            	0.6040             	60.0000            	0.3800             	0.1615             	0.0714             
37                 	2021-09-06 18:39:35	67.8400            	454.9000           	17.7300            	30.8604            	25.2702            	0.5740             	60.0100            	0.3900             	0.1657             	0.0733             
38                 	2021-09-06 18:39:36	65.1400            	437.3000           	15.8600            	28.4857            	23.6768            	0.5560             	60.0000            	0.3900             	0.1657             	0.0733             
39                 	2021-09-06 18:39:37	62.3500            	412.6000           	14.0300            	25.7256            	21.5693            	0.5450             	60.0000            	0.4000             	0.1700             	0.0752             
40                 	2021-09-06 18:39:38	62.3000            	412.3000           	14.0000            	25.6863            	21.5363            	0.5450             	60.0000            	0.4000             	0.1700             	0.0752             
41                 	2021-09-06 18:39:39	62.4200            	413.5000           	14.1000            	25.8107            	21.6238            	0.5460             	60.0000            	0.4100             	0.1742             	0.0771             
42                 	2021-09-06 18:39:40	62.4700            	414.0000           	14.1200            	25.8626            	21.6673            	0.5460             	59.9900            	0.4100             	0.1742             	0.0771             
43                 	2021-09-06 18:39:42	62.4100            	413.4000           	14.0700            	25.8003            	21.6319            	0.5450             	60.0000            	0.4200             	0.1785             	0.0790             
