RPM   SCL    RCL     PC    PM
1771.9    33.7   14.5   17.5   14.0
1768.1    33.3   14.9   17.5   14.0
1764.4    32.9   15.4   17.5   14.0
1743.8    31.4   18.4   17.5   14.0
1721.2    30.6   22.2   17.5   14.0
1701.2    30.6   26.0   17.5   14.0
1681.2    31.2   30.1   17.5   14.0
1661.2    32.3   34.4   17.5   14.0
1641.2    33.9   39.0   17.5   14.0
1623.1    35.7   43.3   17.5   14.0
1601.9    38.1   48.5   17.5   14.0
1581.9    40.7   53.4   17.5   14.0
1561.9    43.6   58.4   17.5   14.0
1540.6    46.8   63.8   17.5   14.0
1518.1    50.5   69.5   17.5   14.0
1499.4    53.7   74.2   17.5   14.0
1478.8    57.3   79.4   17.5   14.0
1461.9    60.3   83.6   17.5   14.0
1440.6    64.3   88.9   17.5   14.0
1419.4    68.2   94.1   17.5   14.0
1400.6    71.7   98.6   17.5   14.0
1301.2    90.4   121.2   17.5   14.0
1201.9    108.3   141.2   17.5   14.0
1103.8    124.8   158.9   17.5   14.0
996.9    141.0   175.3   17.5   14.0
904.4    153.4   187.6   17.5   14.0
804.4    165.3   198.9   17.5   14.0
704.4    175.7   208.5   17.5   14.0
603.8    184.7   216.5   17.5   14.0
503.8    192.4   222.9   17.5   14.0
404.4    198.8   228.1   17.5   14.0
304.4    204.0   232.0   17.5   14.0
204.4    208.2   234.8   17.5   14.0
94.4    211.6   236.5   17.5   14.0
 0.0    213.5   237.0   17.5   14.0
