¡ÆC	T1 - K	T2 - K	T3 - K	T4 - K
1	42.3	37.5	34.7	29.9
2	42.3	37.5	34.7	29.9
3	42.3	37.5	34.7	29.9
4	42.1	37.5	34.7	29.9
5	42.1	37.4	34.7	29.9
6	42.1	37.4	34.7	29.9
7	42.1	37.4	34.7	29.9
8	42.1	37.4	34.7	29.9
9	41.8	37.4	34.7	29.9
10	41.8	37.3	34.7	29.9
11	41.8	37.3	34.7	29.9
12	41.8	37.3	34.7	29.9
13	41.8	37.3	34.7	29.9
14	41.6	37.3	34.7	29.9
15	41.6	37.3	34.7	29.9
16	41.6	37.3	34.8	29.9
17	41.6	37.3	34.8	29.9
18	41.6	37.3	34.8	29.9
19	41.5	37.3	34.8	29.9
20	41.5	37.3	34.8	29.9
21	41.5	37.3	34.8	29.9
22	41.5	37.3	34.8	29.9
23	41.5	37.3	34.8	29.9
24	41.6	37.3	34.8	29.9
25	41.6	37.4	34.8	29.9
26	41.6	37.4	34.9	29.9
27	41.6	37.4	34.9	29.8
28	42.4	37.4	34.9	29.8
29	42.4	37.4	34.9	29.8
30	42.4	37.3	34.9	29.8
31	42.4	37.3	34.9	29.8
32	42.4	37.3	34.9	29.8
33	43	37.3	34.9	29.8
34	43	37.3	34.9	29.8
35	43	37.3	34.9	29.8
36	43	37.3	35	29.8
37	43	37.3	35	29.8
38	43.2	37.3	35	29.8
39	43.2	37.5	35	29.8
40	43.2	37.5	35	29.8
41	43.2	37.5	35	29.8
42	43.2	37.5	35	30
43	43.8	37.5	35	30
44	43.8	37.7	35	30
45	43.8	37.7	35	30
46	43.8	37.7	35	30
47	43.8	37.7	35	30
48	44.5	37.7	35	30
49	44.5	37.7	35	30
50	44.5	37.7	35	30
51	44.5	37.7	35	29.8
52	45.2	37.7	35	29.8
53	45.2	37.8	35	29.8
54	45.2	37.8	35	29.8
55	45.2	37.8	35	29.8
56	45.2	37.8	35	29.8
57	45.3	37.8	35	29.8
58	45.3	38	35	29.8
59	45.3	38	35	29.8
60	45.3	38	35	29.8
61	45.3	38	35	29.8
62	46.5	38	35	29.8
63	46.5	38.2	35	29.8
64	46.5	38.2	35	29.8
65	46.5	38.2	35	29.8
66	46.5	38.2	35	30
67	46.6	38.2	35	30
68	46.6	38.5	35	30
